repository_name,issue_count
cloudquery/cloudquery,173
dbeaver/dbeaver,225
MicrosoftDocs/OfficeDocs-SkypeForBusiness,108
AgoraIO/Docs-Source,127
Tedeapolis/development,113
SeldonIO/seldon-core,127
RandyKnapp/ValheimMods,186
amplication/amplication,200
keepassxreboot/keepassxc,122
photopea/photopea,155
sublimehq/sublime_text,129
hashicorp/terraform-provider-aws,318
home-assistant/frontend,311
huggingface/diffusers,327
vgstation-coders/vgstation13,119
pingcap/tiflow,138
kodadot/nft-gallery,123
react-hook-form/react-hook-form,101
MicrosoftDocs/microsoft-365-docs,161
palewire/cummings.ee,134
arduino/arduino-ide,108
apache/beam,260
MelvorIdle/melvoridle.github.io,127
BuilderIO/qwik,141
doxygen/doxygen,107
conan-io/conan,188
MicrosoftDocs/visualstudio-docs,103
alist-org/alist,225
mdn/content,291
seata/seata,116
sprut/Hub,171
SemenMartynov/Software-Engineering-2022,264
cmss13-devs/cmss13,120
AUTOMATIC1111/stable-diffusion-webui,517
musescore/MuseScore,821
ita-social-projects/GreenCity,210
OpenModelica/OpenModelica,120
pacstall/pacstall-programs,171
FTBTeam/FTB-Modpack-Issues,275
UnitTestBot/UTBotJava,125
influxdata/telegraf,110
hashicorp/terraform-provider-azurerm,192
vesoft-inc/nebula,173
SolastaMods/SolastaUnfinishedBusiness,137
jeecgboot/jeecg-boot,211
grafana/loki,121
RPCS3/rpcs3,153
ValveSoftware/Dota2-Gameplay,586
joomla/joomla-cms,147
deckhouse/deckhouse,132
dagger/dagger,245
w3c/csswg-drafts,124
saleor/saleor-dashboard,170
jOOQ/jOOQ,190
discord/discord-api-docs,103
rust-lang/rust-analyzer,124
UnderscoreKilburn/repentance-issues,249
revanced/revanced-manager,101
bitnami/containers,114
openssl/openssl,124
VictoriaMetrics/VictoriaMetrics,140
AzuraCast/AzuraCast,102
WWBN/AVideo,122
bcgov/entity,515
keycloak/keycloak,337
puppeteer/puppeteer,121
unifyai/ivy,3323
Tonomy-Foundation/management,202
DGEXSolutions/osrd,100
LunaPixelStudios/Better-MC,122
Dragon-Crypto-Gaming/DCG-Bug-Reporter,316
baomidou/mybatis-plus,206
wso2/api-manager,216
conan-io/conan-center-index,165
transmission/transmission,156
FuelLabs/fuels-wallet,127
RocketChat/Rocket.Chat,124
BCDevOps/developer-experience,105
solana-labs/solana,148
we-dance/platform-v3,148
terry3041/pyChatGPT,129
quarkusio/quarkus,374
safe-global/web-core,133
strapi/strapi,266
eraporsmk/erapor6,151
phpstan/phpstan,196
withastro/astro,165
bitmark-inc/autonomy-apps,105
codinasion/program,899
payloadcms/payload,111
microsoft/azuredatastudio,225
sourcegraph/sourcegraph,467
tuya-cloudcutter/tuya-cloudcutter,101
ToolJet/ToolJet,128
frappe/erpnext,236
envoyproxy/envoy,228
manga-download/hakuneko,189
neondatabase/neon,110
azerothcore/azerothcore-wotlk,353
apache/pulsar,676
ckeditor/ckeditor5,213
Fndroid/clash_for_windows_pkg,208
AzureAD/microsoft-authentication-library-for-dotnet,128
streetwriters/notesnook,118
bounswe/bounswe2022group5,174
PrefectHQ/prefect,217
halo-dev/halo,305
vimeo/psalm,209
oppia/oppia,137
risingwavelabs/risingwave,337
eclipse/che,103
organicmaps/organicmaps,114
tox-dev/tox,193
pynecone-io/pynecone,143
fuatakgun/eufy_security,203
ror-community/ror-updates,320
matrixorigin/matrixone,285
Tencent/tdesign-vue-next,117
nodejs/node,202
apache/arrow-datafusion,234
advplyr/audiobookshelf,109
bounswe/bounswe2022group1,460
espressif/esp-idf,252
ccxt/ccxt,256
gravitational/teleport,292
Open-Shell/Open-Shell-Menu,113
internetarchive/openlibrary,137
eslint/eslint,113
folke/lazy.nvim,345
remix-run/react-router,106
apache/echarts,186
microsoft/playwright,599
golang/go,782
kaist-cp/cs431,140
docker/compose,130
libre-tube/LibreTube,403
HorizonFFXI/HorizonXI-Issues,366
facebook/react-native,220
SeleniumHQ/selenium,162
gitpod-io/gitpod,343
bounswe/bounswe2022group7,164
MaterializeInc/materialize,231
goauthentik/authentik,102
ethereum/go-ethereum,119
vim/vim,108
openrewrite/rewrite,137
getsentry/sentry-javascript,188
containerd/nerdctl,226
jellyfin/jellyfin,110
elementor/elementor,279
stoneatom/stonedb,111
rilldata/rill-developer,107
tooot-app/app,174
skyline-emu/skyline-games-list,105
